id,label,text
51,nao_argumento,"Segundo a Organização das Nações Unidas – ONU “a problematização da criminalidade entre jovens no Brasil tangencia fatores sociais, econômicos, políticos e, acima de tudo, educacionais”."
52,nao_argumento,"Logo, é uma questão sistêmica por agregar deficiências sérias nesses setores e influenciar uma realidade de descaso – desemprego, má distribuição de renda, educação básica questionável por apresentar baixos índices nas avaliações pelo Índice de Desenvolvimento da Educação Básica (Ideb) e outros."
55,nao_argumento,"Desse modo, não adianta abordar mudanças na educação à criança ou adolescente se distintos segmentos sociais (fatores citados a cima) mostram inúmeros desequilíbrios à sociedade."
57,nao_argumento,Essas medidas ajudariam a construir um Brasil onde o jovem não precisaria sair da escola para procurar trabalho ou torná-los mais vulneráveis às drogas.
58,nao_argumento,"Por último é necessário um Estado forte e comprometido com sua população, adequando gestões que façam a diferença em sociedade."
59,nao_argumento,"Ademais, outras intervenções sociais podem ajudar a resolver o problema."
62,nao_argumento,"Para tanto, realizando essas mudanças, um país mais justo desenvolveria pessoas mais éticas socialmente."
63,nao_argumento,A criminalidade de jovens brasileiros entre 12 e 17 anos no Brasil sofreu um aumento significativo nos últimos anos segundo o Fórum Brasileiro de Segurança Pública.
68,nao_argumento,"Devido à decadência do sistema público de ensino a evasão escolar por jovens de baixa renda é alta e caso este jovem conclua o ensino básico, as cotas de inclusão não são suficientes para atender a demanda deste grupo, seja em relação à qualificação profissional ou a sua inserção no mercado de trabalho."
72,nao_argumento,"Para resolver esse problema, o Governo deverá atuar em três áreas: esporte, profissional e educacional."
73,nao_argumento,A mais importante dessas áreas é a educacional.
74,nao_argumento,Estudos revelaram um alto índice de evasão escolar no país.
80,nao_argumento,"E por último, e não menos importante, a área esportiva."
81,nao_argumento,"Muito se sabe sobre os benefícios que o esporte traz para a saúde física, mas, além disso, existem também os benefícios na formação do caráter dos jovens."
85,nao_argumento,"No filme norte americano “Coach Carter: treino para a vida” do diretor Tomas Carter, foi revelado o quão estavam imersos na criminalidade os jovens da zona pobre de Richmond, Califórnia, e o trabalho rígido do treinador de basquete para educar moralmente seus atletas."
89,nao_argumento,"Embora equivocada essa proposta de alteração legislativa, assim como o treinador Carter ligou rigorosamente com os jovens, os brasileiros não podem receber tratamento ameno."
91,nao_argumento,Isso fica evidente pelos dispositivos generosos de progressão de pena constante no código penal e também o Estatuto da Criança e do Adolescente – ECA o qual não prevê penas duras para os menores reincidentes.
92,nao_argumento,"Diante dessa aparente falta de medidas disciplinares eficientes, não é ilógico imaginar a fácil desobediência dos jovens à legislação vigente."
93,nao_argumento,"Frente ao que foi explanado, a situação dos jovens brasileiros mergulhados na criminalidade é grave tanto para eles próprios como para a sociedade, que fica ainda mais aterrorizada."
95,nao_argumento,"Em 2017, um dado proferido pela Organização das Nações Unidas (ONU) delineou o Brasil como o sétimo país com maiores taxas de morte entre jovens."
96,nao_argumento,"Nessa perspectiva, apesar de recente, tal pesquisa reflete um cenário alicerçado na formação desigual do país, e que, portanto, mostra-se ineficaz em garantir efetivamente as normas necessárias ao desenvolvimento do sujeito."
99,nao_argumento,"De fato, tal conjuntura relaciona-se à Teoria do Controle Social proposta pelo sociólogo Travis Hirschi: crimes ocorrem quando os laços sociais que o indivíduo mantém com sociedade se encontram enfraquecidos ou rompidos."
100,nao_argumento,"Desse modo, pautada em uma realidade a qual se distancia cada vez mais de modelos que vinculem esforços a êxitos, muitas vezes realização de atos ilícitos é ocasionada por uma tentativa de equiparar as falhas existentes no meio social do indivíduo."
105,nao_argumento,"Poder-se-á, assim, equiparar as oportunidades de desenvolvimento entre os jovens no Brasil."
106,nao_argumento,"O computador, criado por Alan Turing, tinha como principal finalidade decifrar códigos alemães durante guerras."
