id,text,label,wmd_rate
1,reavaliar principais circunstâncias adjetivam injustiças sociais como exemplo criminalizar maneira enérgica corruptos saqueiam cofres públicos,PI,0.8116362523550025
1,o ministério educação ministro ricardo vélez rodriguez podem desenvolver parceria junto grande média – rádios televisão jornais fim criar projeto social informativo perigos criminalidade jovens,PI,0.8211372883440028
1,premiar trabalhos apresentassem temas combate criminalidade bolsas estudos melhores universidades país,PI,0.8495108118510022
1,imprescindível exista reavaliação governamental diante dessas linhas sociais pois estado deficitário ocasiona quadro injusto população jovem,tese,0.7623706632360022
1,perceptível solução impasse apresentado responde governabilidade ruim cuja gestão ministérios existentes repercutem ações fracas ineficientes combater sistematicamente criminalidade,argumento,0.7960376898880022
2,desigualdades sociais somadas omissão estado impulsionam iniciação cada vez precoce jovens mundo crime,tese,0.8360980362450026
2,encontrar-se países maior produção riqueza dados ibge instituto brasileiro geografia estatística apontam maior parcela desta riqueza concentra-se 10 ricos população neste cenário muitos jovens brasileiros situação risco veem crime única oportunidade superarar pobreza ascender socialmente,argumento,0.7873400142710021
2,descaso governo acerca assuntos tangem educação aplicação políticas inclusão colaboram ainda aumento desta taxa criminalidade,argumento,0.7781682718120024
2,para superar quadro violência políticas inclusão bastam deve haver políticas visem melhor redistribuição renda país incentivos busquem melhoria sistema básico ensino público assim também capacitação destes jovens mercado trabalho,PI,0.7521545880240027
2,dessa forma causas aumento criminalidade jovens brasileiros múltiplas possui pilar principal desigualdade social amparada omissão ineficiência estado,argumento,0.7959909220560024
3,estado deverá criar programas conter evasão como estimulando jovem importância estudos melhorando estruturas escolas tornar ambiente agradável investindo formação salário professores realizem bom trabalho,PI,0.7746109358730028
3,já área profissional governo deverá incentivar empresas investirem programas aprendizagens jovens,PI,0.8244141215160021
3,esses programas além permitirem jovem fonte renda permitirá participação mercado trabalho experiência profissional maturidade ocupação conhecimento autoconfiança características essenciais proporcionar jovem oportunidade ingressar mercado trabalho,argumento,0.8081840450320021
3,por isso outra área estado deverá investir formar juventude personalidade forte br,PI,0.8017038730850023
3,a educação caminho seguro afastar jovens criminalidade prepará-los mercado profissiona,argumento,0.8339145231520025
3,participação jovens crimes praticados brasil crescendo assustadoramente conforme anuário divulgado final 2017 fórum brasileiro segurança pública para resolver problema governo deverá atuar três áreas esporte profissional educacional,tese,0.772040982313003
3,tendo vista aspectos observados solução conter afastar jovens criminalidade quão eficiente ações governo estarão voltadas investimento conciliação três áreas pois assim permitirá jovens percorram caminhos tortuosos,PI,0.7453784438040028
3,o esporte ensina jovens trabalhar equipe disciplina esforço determinação perder ganhar competir,argumento,0.8172666384530024
4,pobreza empurra infantes mundo crime flexibilização leis incentivam permanecer comportamentos torpes,tese,0.8183979889590022
4,idade indivíduos vulneráveis sentimentalmente pobreza agrava condição torna-se uns canais recrutamento tráfico exemplo,argumento,0.8061355560060026
4,o clamor social redução maioridade penal evidência quanto criminalidade seduzido milhares jovens adolescentes,argumento,0.8367071172780026
4,leis brasileiras bem agentes segurança contribuem permanência jovens criminalidade sobretudo reincidência crimes visto interpretam forma facilita saída infratores reclusão,argumento,0.7986094765440028
4,congresso nacional precisa trabalhar adequação leis realidade brasileira alterar regras regressão pena aperfeiçoamento eca secretárias educação estados municípios precisam fomentar políticas públicas aumentem envolvimento jovens esporte porque assim infantes podem sonhar mesma vida digna sonhada treinador carter liderados,PI,0.7598831842800031
5,necessário ministério trabalho mt parceria ministério educação mec fortaleça lei aprendizagem escolas áreas baixas rendas intuito inserir alunos funções produtivas bem geração renda àqueles habitam situações vulnerabilidade social por fim centro referência especializado assistência social creas deve atuar através profissionais área tanto suporte jurídico social tanto famílias risco quanto monitoramento daqueles cumprem medidas socioeducativas,PI,0.7661605536580031
5,conselho nacional justiça cnj corrobora contexto expressa vulnerabilidade indivíduo diante ausência emprego acesso educação qualquer outro meio necessário renda dignidade humana,argumento,0.819014336205002
5,ausência suporte familiar pode indiciar primeiros sinais desamparo jovem subsequentemente primeiras tendências crime adolescência – período pessoa mostra suscetível influências externas referentes formação conceitos si,argumento,0.7685935829100027
5,nesse ínterim medida desigualdade social atinge camadas específicas território brasileiro jovem tende perder qualidade direitos consequentemente exposto situações violência,argumento,0.7469493615120026
5,dessa maneira diante marginalização direitos torna-se inegável discussão criminalidade jovens fito evitar associação crime válvula escape permita ascensão social,tese,0.7856735660400028
6,uso demasiado tecnologia dia dia homem corrobora tentativa torna-lo obediente influências digitais,tese,0.8020348078600024
6,busca praticidade conforto homem estreitou relação tecnologia,argumento,0.8492056536030026
6,partir século xix revolução industrial mão obra passou substituída máquinas,argumento,0.8110037588960025
6,tecnologia destaca campo comunicação vez permite indivíduo maior alcance mensagens faz tempo real facilitando portanto interação comunicativa usuários,argumento,0.7470429412080021
6,artistas contemporâneos cantora pitty retrata cenário música “admirável chip novo” seguinte trecho “nada orgânico tudo programado achando libertado” evidenciando falta liberdade homem diante forte interferência digital,argumento,0.7770784303540028
6,necessário maior controle campo virtual amenizar forte influência diversos sites decisões indivíduo para isso faz-se preciso atuação governo federal criar medidas segurança parceria ministério comunicação âmbito tornar dados pessoais usuários preservados podendo punir judicialmente infratores caso invasão dessas informações,PI,0.7758879555900019
6,as instituições ensino órgão educador devem elucidar jovens diversificar sites costumam acessar fiquem restritos ferramenta fazendo visão mundo amplie,PI,0.8107832406000028
6,ademais vale frisar uso exacerbado tecnologia permite atue decisões homem meio sistema controle dados capaz acesso preferências internautas e assim moldar forma pensar,argumento,0.7557993492900027
7,manipulação informações através meio consolida internet ferramenta aquisição conhecimento torna cada vez entrelaçada decisões pessoais indivíduo silenciosa ditadura algoritmos induz desde padrão consumo formação crítica opinião associada comportamento,tese,0.7942672761460027
7,dessa maneira consumo apresenta-se fruto escolhas previamente selecionadas responsáveis criar falsa sensação liberdade pessoa restringida presença “trending topics” ilustrados publicidades,argumento,0.7862303777360021
7,vazamento dados oriundos 87 milhões perfis facebook sendo 440 mil brasileiros relaciona-se inobservância estatal assegurar direitos segurança privacidade previstos marco civil internet lei 12965 2014 porque controle ilegal tais conteúdos incide ações tendem influenciar formação política social sociedade vez mantém-se fomentada comodidade falta verificação busca conhecimento,argumento,0.7738199374720028
7,alegoria caverna proposta filósofo platão homem cômodo acorrentado caverna alimentado somente sombras mundo exterior refletido parede incapaz atingir conhecimento inteligível é verdadeiro,argumento,0.8026932334740028
7,necessário ação colaborativa ministério público ministério educação fortalecimento projeto ministério público educação digital escolas fim intensificar presença especialistas espaço escolar quais expliquem devidas medidas proteção serem tomadas internet bem fornecer orientação famílias controle uso,PI,0.8137076978910024
7,mídia caráter socializador deve desenvolver comerciais televisivos quais contenham fragmentos lei 12965 exemplos cotidianos instruam população manuseio consciente dados pessoais,PI,0.800570712016002
8,para indivíduo torne super-homem nietzsche largue senso comum governo através ministérios educação comunicação devem fazer parcerias mídia propagandas intuito informar veiculados menos comercial horário nobre,PI,0.7918358037840022
8,quão benéfico tecnologia é,argumento,0.8142631143040024
8,presos modo consumir baseado consumimos gostamos,argumento,0.8295547476230025
8,logo embora noção algoritmos além usufruirmos mesmo ainda míopes lidar elas,tese,0.7593841824840021
9,dados ibge mostram 80 jovens usam internet diversas finalidades envio mensagem recebimento correio eletrônico receber ligações alguém,argumento,0.8008768218240023
9,internet usada formadora opinião gosto visto pessoas consensos divergentes expõem pensamentos rede influenciando vida jovem dessa maneira propostos certa pessoa podem manipulá-la devido falta controle informações,argumento,0.7785295175820028
9,notório internet peça fundamental acesso conteúdos vídeos mensagem pesquisas outros além disso consegue meio algarismos códigos filtrar transmitir usuário sugestões personalizadas informações páginas sites entretanto autonomia internet uso dados pode trazer certa manipulação conteúdo falsa impressão escolha,tese,0.7684411916430032
9,necessário preocupação pais conteúdo oferecido filho,PI,0.8381289085890025
9,convém ressaltar internet meios usados divulgação marcas produtos empresas e conseguir maximização desempenho usado banco dados usuários divulgar produto acordo preferências,argumento,0.8126541570240019
9,deve-se ressaltar através palestras escolas necessidade uso consciente formas prevenção contra manipulação rede e imprenscíndivel haver maior transparência sites aplicativos uso dados usuário,PI,0.7718104239060029
10,entanto controle exercido meios digitais dados produtos serviços chegam indivíduo impossibilita direitos internacionais fato colocados prática,tese,0.7908578080720023
10,os meios digitais controlam acesso informação cidadão isto porque através consultas redes socais facebook instagram possível desenhar perfil indivíduo e assim descobrir desejos opiniões e fim permite grandes empresas google selecionem notícias chegam este,argumento,0.7385075086320023
10,internet seleciona bens serviços consumidos população,argumento,0.8212615715670025
10,dessa forma onu parceria ongs espalhadas redor deve realizar palestra seminários perigos meio digital oferece fim incitar caráter crítico vigilante indivíduo,PI,0.791813308983002
11,expansão atividades empresariais aliada visão etnocêntrica sociedade principais rastilhos nação indígena enfrenta,tese,0.8232566456610024
11,comunidades indígenas desde período colonial século xvi sofrem invasões terras obras desenvolvimento país i,argumento,0.8597852250280028
11,vale frisar nativos vítimas visão deturpada valores construída europeus que historicamente primeiros contato essa percepção errônea naturalizada refletida obras literárias indianistas escritor josé alencar iracema transforma índio figura selvagem ingênua passiva diante atitudes exploratórias europeu sen,argumento,0.8016623138320021
11,faz-se necessário mobilização agentes fundações instituições combater problemáticas supracitadas para isso funai- fundação nacional indígena- deve intensificar operações proteção garantia direitos indígenas acerca terras demarcadas denunciando empresas ferirem direitos preestabelecidos e assegurando indígenas posse terras outrossim instituições escolares meio docentes devem propor inovações didáticas – reservar semana ano invés somente dia data comemorativa- abordar temáticas povo elucidando importância construção identidade país cidadãos desde tenra idade aprendam respeito preservação diversidade étnica,PI,0.7772194867680035
12,índios sofreram inúmeras mudanças cultura devido interação outros povos,tese,0.8235998497020022
12,segundo dados fundação nacional índio funai existem atualmente 460 mil índios residindo aldeias brasil estima-se anteriormente chegada colonizadores haviam 4 5 milhões índios terras brasileiras massacres realizados mesmos e posteriormente conflitos fazendeiros garimpeiros invadiram terras indígenas contribuíram decréscimo população indígena,argumento,0.8018711774400019
12,a diminuição alimentos desmatamento avanço cidades fatores motivaram parte povos indígenas migrarem centros urbanos principalmente década 50 intensificação desenvolvimento industrial,argumento,0.8093553659520022
12,logo entrada índio sociedade complicada pois maior parte dessa população estudo torna-se difícil inserção mercado trabalho sobrevivendo alguns casos apenas artesanato mão obra barata carteira assinada sendo assim maioria vive total pobreza áreas ricos possuído grandes dificuldades atendimento saúde devido forte preconceito descriminação sugere dados instituto brasileiro geografia estatística ibge 49 indígenas moram centros urbanos medo represálias tendem negar origens culturais,argumento,0.7414784546740016
12,estratégias governamentais incluem índios possam viver cidades mesmos direitos demais e medidas protetivas auxiliem manutenção dessa população suprindo necessidades incentivos acesso saúde leis auxiliem processos regulamentação direitos trabalhistas público assistência meio funcionários saúde promovam ampara-los,PI,0.7683245147550021
13,apesar miscigenação existente povos formadores sociedade nacional noção supremacia branca estrangeira ainda inferioriza identidade indígena após conquista direitos demarcações quais corroboram importância,tese,0.7916014810400027
13,invasão europeus representou início desagregação muitas tribos consequentemente deu origem conflitos referentes demarcação territórios indígenas sinal permanecem tempos recentes dada morosidade fundação nacional índio funai respeito homologação inúmeras áreas destinadas povos nativos contraponto resistência grandes empresários agricultores dessa forma tais disputas indicam reflexo aculturação sofrida índios constante luta enfrentada manterem cultura sociedade contemporânea,argumento,0.7774438485480025
13, apesar avanços legislativos estatuto idoso lei 11645 inclui história cultura afrodescendente indígena grade curricular escolas visão conferida índios permanece socialmente estigmatizada assim concepção generalizada indígena fadado praticas primitivas vida isolado tribos fortificam estereótipos dificultam integração meio coleti,argumento,0.747855371895003
13,atuação estado valorização índio intuito integra-lo comunhão nacional para poder executivo funai têm agilizar estudos demarcações referentes terras indígenas bem intensificar fiscalização policial reservas fim manter defesa certas tribos,PI,0.8016228099920029
13,fim ministério educação mec deve efetivar lei 11645 escolas parceria campanhas midiáticas desmistificam estigmas ligados povos nativos,PI,0.8229046358160025
13,outrossim escassa ação políticas públicas sobretudo voltadas saúde reflete preservação grupos indígenas isolados vez maior vulnerabilidade relação doenças oriundas madeireiros ilegais matas,argumento,0.7984992788100026
13,ademais ministério saúde deve fortalecer conselhos saúde especializados índios intermédio capacitação profissionais,PI,0.8234817573050024
14,então buscar garantir direitos configura ação ética frente sociedade moderna torna minoria portanto debate demarcação terras normativas constitucionais proteção povos tradicionais etnocídio tematizam exemplos problemáticos brasil,tese,0.7786997565720029
