id,text,class,arg
1,reavaliar principais circunstâncias adjetivam injustiças sociais como exemplo criminalizar maneira enérgica corruptos saqueiam cofres públicos,PI,0.7412722803580013
1,o ministério educação então ministro ricardo vélez rodriguez podem desenvolver parceria junto grande média – rádios televisão jornais fim criar projeto social informativo perigos criminalidade jovens,PI,0.799793008481001
1,premiar trabalhos apresentassem temas combate à criminalidade bolsas estudos melhores universidades país,PI,0.8299915370270012
1,imprescindível exista reavaliação governamental diante dessas linhas sociais pois estado deficitário ocasiona quadro injusto à população jovem,Tese,0.7444274102050012
1,é perceptível solução impasse apresentado responde governabilidade ruim cuja gestão ministérios existentes repercutem ações fracas ineficientes combater sistematicamente criminalidade,Argumento,0.7935243064300017
2,desigualdades sociais somadas à omissão estado impulsionam iniciação cada vez precoce jovens mundo crime,Tese,0.8048845940150015
2,encontrar-se países maior produção riqueza dados ibge instituto brasileiro geografia estatística apontam maior parcela desta riqueza concentra-se 10 ricos população neste cenário muitos jovens brasileiros situação risco veem crime única oportunidade superarar pobreza ascender socialmente,Argumento,0.731326289731001
2,descaso governo acerca assuntos tangem à educação aplicação políticas inclusão colaboram ainda aumento desta taxa criminalidade,Argumento,0.7719028612490012
2,ara superar quadro violência políticas inclusão não bastam deve haver políticas visem melhor redistribuição renda país incentivos busquem melhoria sistema básico ensino público assim também capacitação destes jovens mercado trabalho,PI,0.7586652425540014
2,dessa forma causas aumento criminalidade jovens brasileiros são múltiplas possui pilar principal desigualdade social amparada omissão ineficiência estado,Argumento,0.7834100279550009
3,estado deverá criar programas conter evasão como estimulando jovem importância estudos melhorando estruturas escolas tornar ambiente agradável investindo formação salário professores realizem bom trabalho,PI,0.7806229301740016
3,já área profissional governo deverá incentivar empresas investirem programas aprendizagens jovens,PI,0.810613171258001
3,esses programas além permitirem jovem fonte renda permitirá também participação mercado trabalho experiência profissional maturidade ocupação conhecimento autoconfiança características essenciais proporcionar jovem oportunidade ingressar mercado trabalho,Argumento,0.7950807783820014
3,por isso é outra área estado deverá investir formar juventude personalidade forte br,PI,0.7976618646720014
3,a educação é caminho seguro afastar jovens criminalidade prepará-los mercado profissiona,Argumento,0.806209074353001
3,participação jovens crimes praticados brasil crescendo assustadoramente conforme anuário divulgado final fórum brasileiro segurança pública para resolver problema governo deverá atuar três áreas esporte profissional educacional,Tese,0.7722878600730017
3,endo vista aspectos observados solução conter afastar jovens criminalidade está quão eficiente ações governo estarão voltadas investimento conciliação três áreas pois assim permitirá jovens percorram caminhos não tortuosos,PI,0.7518766746630015
3,o esporte ensina jovens trabalhar equipe disciplina esforço determinação perder ganhar competir,Argumento,0.8111158421630013
4,pobreza empurra infantes mundo crime também flexibilização leis incentivam permanecer comportamentos torpes,Tese,0.7990142900470012
4,idade indivíduos são vulneráveis sentimentalmente pobreza agrava condição torna-se uns canais recrutamento tráfico exemplo,Argumento,0.8052722372300015
4,o clamor social redução maioridade penal é evidência quanto criminalidade seduzido milhares jovens adolescentes,Argumento,0.7838810471530016
4,leis brasileiras bem agentes segurança contribuem permanência jovens criminalidade sobretudo reincidência crimes visto interpretam forma facilita saída infratores reclusão,Argumento,0.8074930318140017
4,congresso nacional precisa trabalhar adequação leis à realidade brasileira alterar regras regressão pena aperfeiçoamento eca já secretárias educação estados municípios precisam fomentar políticas públicas aumentem envolvimento jovens esporte porque assim infantes podem sonhar mesma vida digna sonhada treinador carter liderados,PI,0.7548797582700008
5,necessário ministério trabalho mt parceria ministério educação mec fortaleça lei aprendizagem escolas áreas baixas rendas intuito inserir alunos funções produtivas bem geração renda àqueles habitam situações vulnerabilidade social por fim centro referência especializado assistência social creas deve atuar através profissionais área tanto suporte jurídico social tanto famílias risco quanto monitoramento daqueles cumprem medidas socioeducativas,PI,0.7536369656800019
5,conselho nacional justiça cnj corrobora contexto expressa vulnerabilidade indivíduo diante ausência emprego acesso à educação qualquer outro meio necessário renda dignidade humana,Argumento,0.7946193500510016
