id,label,text
1,tese,"Portanto, é imprescindível que exista uma reavaliação governamental diante dessas linhas sociais, pois um Estado deficitário ocasiona um quadro injusto à população jovem."
1,argumento,"Com base nessas considerações, é perceptível que a solução ao impasse apresentado responde a uma governabilidade ruim, cuja gestão dos Ministérios existentes repercutem ações fracas e ineficientes para combater sistematicamente a criminalidade."
1,PI,"O Ministério da Educação e seu então ministro Ricardo Vélez Rodriguez, podem desenvolver uma parceria junto a grande média – rádios, televisão e jornais, a fim de criar um projeto social e informativo sobre os perigos da criminalidade entre jovens."
1,PI,"Também, este mesmo projeto poderia premiar trabalhos que apresentassem temas ao combate à criminalidade com bolsas de estudos na melhores Universidades do País."
1,PI,"Além disso, precisa haver um diagnóstico de situações concretas, buscando reavaliar as principais circunstâncias que adjetivam essas injustiças sociais como, por exemplo, criminalizar de maneira mais enérgica os corruptos que saqueiam cofres públicos e, consequentemente, afetam inúmeras famílias que necessitam de uma educação para seus filhos e saúde de qualidade, bem como um emprego digno aos pais."
1,nao_argumento,"Segundo a Organização das Nações Unidas – ONU “a problematização da criminalidade entre jovens no Brasil tangencia fatores sociais, econômicos, políticos e, acima de tudo, educacionais”."
1,nao_argumento,"Logo, é uma questão sistêmica por agregar deficiências sérias nesses setores e influenciar uma realidade de descaso – desemprego, má distribuição de renda, educação básica questionável por apresentar baixos índices nas avaliações pelo Índice de Desenvolvimento da Educação Básica (Ideb) e outros."
1,nao_argumento,"Desse modo, não adianta abordar mudanças na educação à criança ou adolescente se distintos segmentos sociais (fatores citados a cima) mostram inúmeros desequilíbrios à sociedade."
1,nao_argumento,Essas medidas ajudariam a construir um Brasil onde o jovem não precisaria sair da escola para procurar trabalho ou torná-los mais vulneráveis às drogas.
1,nao_argumento,"Por último é necessário um Estado forte e comprometido com sua população, adequando gestões que façam a diferença em sociedade."
1,nao_argumento,"Ademais, outras intervenções sociais podem ajudar a resolver o problema."
1,nao_argumento,"Para tanto, realizando essas mudanças, um país mais justo desenvolveria pessoas mais éticas socialmente."
2,tese,Essa realidade brasileira segue a mesma tendência dos demais países emergentes cujas desigualdades sociais somadas à omissão do Estado impulsionam a iniciação cada vez mais precoce dos jovens no mundo do crime.
2,argumento,"Apesar do Brasil, na atualidade, encontrar-se entre os países com maior produção de riqueza, dados do IBGE (Instituto Brasileiro de Geografia e Estatística) apontam que a maior parcela desta riqueza concentra-se entre os 10% mais ricos da população."
2,argumento,"Neste cenário, muitos jovens brasileiros em situação de risco veem o crime como única oportunidade de superarar a pobreza e ascender socialmente."
2,argumento,"Não suficiente, o descaso do governo acerca dos assuntos que tangem à educação e a aplicação das políticas de inclusão colaboram ainda mais para o aumento desta taxa de criminalidade."
2,argumento,"Dessa forma, as causas para o aumento da criminalidade entre os jovens brasileiros são múltiplas, mas possui como pilar principal a desigualdade social amparada na omissão e ineficiência do Estado."
2,PI,"Para superar esse quadro de violência as políticas de inclusão não bastam, deve haver políticas que visem a melhor redistribuição de renda no país e incentivos que busquem a melhoria do sistema básico do ensino público, assim como também, a capacitação destes jovens para o mercado de trabalho."
2,nao_argumento,A criminalidade de jovens brasileiros entre 12 e 17 anos no Brasil sofreu um aumento significativo nos últimos anos segundo o Fórum Brasileiro de Segurança Pública.
2,nao_argumento,"Devido à decadência do sistema público de ensino a evasão escolar por jovens de baixa renda é alta e caso este jovem conclua o ensino básico, as cotas de inclusão não são suficientes para atender a demanda deste grupo, seja em relação à qualificação profissional ou a sua inserção no mercado de trabalho."
3,tese,"A participação de jovens em crimes praticados no Brasil vem crescendo assustadoramente, conforme o anuário divulgado no final de 2017 do Fórum Brasileiro de Segurança Pública."
3,argumento,A educação é o caminho mais seguro para afastar os jovens da criminalidade e para prepará-los para o mercado profissional.
3,argumento,"Esses programas além de permitirem ao jovem uma fonte de renda, permitirá também sua participação ao mercado de trabalho, experiência profissional, maturidade, ocupação, conhecimento e autoconfiança."
3,argumento,Características essenciais para proporcionar ao jovem uma oportunidade de ingressar ao mercado de trabalho.
3,argumento,"O esporte ensina aos jovens a trabalhar em equipe, a disciplina, o esforço, a determinação, a perder, a ganhar e a competir."
3,PI,"O Estado deverá criar programas para conter essa evasão, como: estimulando o jovem a importância dos estudos; melhorando as estruturas das escolas para tornar o ambiente mais agradável; investindo na formação e no salário dos professores para que esses realizem um bom trabalho."
3,PI,"Já na área profissional, o Governo deverá incentivar as empresas a investirem em programas de aprendizagens de jovens."
3,PI,"Por isso, é outra área que o Estado deverá investir para formar uma juventude com personalidade forte e com muito brio."
3,PI,"Tendo em vista os aspectos observados, a solução para conter e afastar os jovens da criminalidade está no quão eficiente as ações do Governo estarão voltadas no investimento e na conciliação entre essas três áreas, pois assim, permitirá aos jovens que percorram caminhos não tortuosos."
3,nao_argumento,"Para resolver esse problema, o Governo deverá atuar em três áreas: esporte, profissional e educacional."
3,nao_argumento,A mais importante dessas áreas é a educacional.
3,nao_argumento,Estudos revelaram um alto índice de evasão escolar no país.
3,nao_argumento,"E por último, e não menos importante, a área esportiva."
3,nao_argumento,"Muito se sabe sobre os benefícios que o esporte traz para a saúde física, mas, além disso, existem também os benefícios na formação do caráter dos jovens."
4,tese,"Num passado recente, o cenário brasileiro não se diferencia tanto daquele do filme, visto que a pobreza empurra os infantes para o mundo do crime, mas também a flexibilização das leis os incentivam a permanecer com esses comportamentos torpes."
4,argumento,"Em primeira análise, é preciso reconhecer que nessa idade os indivíduos são vulneráveis sentimentalmente e que a pobreza agrava essa condição a qual torna-se uns dos canais para recrutamento para o tráfico, por exemplo."
4,argumento,O clamor social pela redução da maioridade penal é mais uma evidência do quanto a criminalidade tem seduzido milhares de jovens e adolescentes.
4,argumento,"Seguindo esta ótica, as leis brasileiras bem como os agentes de segurança contribuem para a permanência dos jovens na criminalidade, sobretudo pela reincidência de crimes, visto que as interpretam de forma que facilita a saída dos infratores da reclusão."
4,PI,"Por isso, o Congresso Nacional precisa trabalhar para a adequação das leis à realidade brasileira, como alterar as regras de regressão de pena e aperfeiçoamento do ECA; já as secretárias de educação, dos estados e municípios, precisam fomentar mais políticas públicas que aumentem o envolvimento dos jovens com o esporte porque assim os infantes podem sonhar com a mesma vida digna sonhada pelo treinador Carter para seus liderados."
4,nao_argumento,"No filme norte americano “Coach Carter: treino para a vida” do diretor Tomas Carter, foi revelado o quão estavam imersos na criminalidade os jovens da zona pobre de Richmond, Califórnia, e o trabalho rígido do treinador de basquete para educar moralmente seus atletas."
4,nao_argumento,"Embora equivocada essa proposta de alteração legislativa, assim como o treinador Carter ligou rigorosamente com os jovens, os brasileiros não podem receber tratamento ameno."
4,nao_argumento,Isso fica evidente pelos dispositivos generosos de progressão de pena constante no código penal e também o Estatuto da Criança e do Adolescente – ECA o qual não prevê penas duras para os menores reincidentes.
4,nao_argumento,"Diante dessa aparente falta de medidas disciplinares eficientes, não é ilógico imaginar a fácil desobediência dos jovens à legislação vigente."
4,nao_argumento,"Frente ao que foi explanado, a situação dos jovens brasileiros mergulhados na criminalidade é grave tanto para eles próprios como para a sociedade, que fica ainda mais aterrorizada."
5,tese,"Dessa maneira, diante da marginalização de seus direitos, torna-se inegável à discussão da criminalidade entre os jovens, com o fito de evitar associação do crime a uma válvula de escape que permita a sua ascensão social."
5,argumento,"Nesse ínterim, à medida em que desigualdade social atinge camadas específicas no território brasileiro, o jovem tende a perder qualidade de seus direitos, e consequentemente é exposto a situações de violência."
5,argumento,"Paralelo a isso, ao afirmar o tráfico de drogas e o roubo qualificado, como respectivos crimes mais cometidos por adolescentes, o Conselho Nacional de Justiça (CNJ) corrobora um contexto que expressa vulnerabilidade do indivíduo diante da ausência de emprego, acesso à educação ou qualquer outro meio necessário a sua renda e dignidade humana."
5,argumento,"Ademais, ausência de suporte familiar pode indiciar os primeiros sinais de desamparo ao jovem, e subsequentemente suas primeiras tendências ao crime na adolescência – período o qual pessoa se mostra mais suscetível a influências externas referentes à formação de conceitos sobre si mesmo."
